committee_id,name,committee_type,org_type,connected_org,total_receipts,contribs_to_others,ind_exp,proposedClass,reason,finalClass
C00004036,SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION),Q,L,SERVICE EMPLOYEES INTERNATIONAL UNION,74457474,28888497,11423404,LABOR,org_type=L (Labor),
C00804104,WISCONSIN TRUTH PAC,O,,,30059200,250000,28874331,DARK_MONEY,inline: Wisconsin Truth PAC — Ron Johnson 2022 super PAC,
C00468314,"DEMOCRACY ENGINE, INC., PAC",N,C,"DEMOCRACY ENGINE, INC.",29571218,28251864,0,CORPORATE,org_type=C (Corporation),
C00870030,MARYLAND'S FUTURE,O,,NONE,30638186,0,27014740,DARK_MONEY,/MARYLAND'S FUTURE/,
C00796045,TRUTH AND COURAGE PAC,O,,,37916061,6350000,25897659,DARK_MONEY,override: Truth and Courage PAC — Vance-aligned billionaire swing PAC,
C00418897,VOTEVETS,W,,NONE,37658164,608000,25888819,ACTIVIST,/VOTEVETS/,
C00777185,SAVING ARIZONA PAC,O,,,31822143,839166,25405637,DARK_MONEY,inline: Saving Arizona PAC — Peter Thiel-funded Kari Lake / Masters super PAC,
C00782664,AMERICA FUND,O,,NONE,26416715,24828500,0,DARK_MONEY,inline: America Fund — vague-patriotic billionaire-funded R swing super PAC ($24.8M IE),
C00801514,PROTECT OUR FUTURE PAC,V,,,28530613,0,24246046,IDEOLOGICAL,/PROTECT OUR/,
C00881987,DUTY TO AMERICA PAC,O,,NONE,23640000,0,23591143,DARK_MONEY,/AMERICA PAC/,
C00668301,DEFENDARIZONA,O,,NONE,22730648,116900,21966590,DARK_MONEY,inline: DefendArizona — Mark Kelly 2022 super PAC,
C00688655,EVERYTOWN FOR GUN SAFETY VICTORY FUND,O,,NONE,32396481,1100000,21202308,ACTIVIST,override: Everytown Victory Fund — gun safety advocacy,
C00853861,"GLCF, INC.",O,,NONE,22577435,0,21184891,CORPORATE,/\bINC\b/,
C00891291,RBG PAC,O,,NONE,20500000,0,20476000,DARK_MONEY,/\bRBG PAC\b/,
C00724203,SOMOS PAC,O,,,22707439,3715740,20440191,ACTIVIST,/SOMOS PAC/,
C00693838,"MORE JOBS, LESS GOVERNMENT",O,,NONE,22189742,393000,19943506,UNKNOWN,no signal,
C00794891,AMERICAN LEADERSHIP ACTION,O,,NONE,21963546,0,19588100,DARK_MONEY,inline: American Leadership Action — R dark-money super PAC,
C00744920,FAMILY FRIENDLY ACTION PAC,W,,,22684374,100000,19478026,DARK_MONEY,inline: Family Friendly Action PAC — Glenn Youngkin / Abigail Spanberger dark money,
C00741710,"NRA VICTORY FUND, INC.",O,,,19722806,0,19452560,IDEOLOGICAL,/NRA\b/,
C00798116,"HONOR PENNSYLVANIA, INC.",O,,,21344077,116056,19262384,CORPORATE,/\bINC\b/,
C00750323,GEORGIA UNITED VICTORY,O,,,21556929,145084,19187774,DARK_MONEY,inline: Georgia United Victory — GA R dark-money super PAC,
C00886614,YOUR COMMUNITY PAC,O,,NONE,21363429,10000,19033257,DARK_MONEY,/YOUR COMMUNITY PAC/,
C00842344,BEST OF AMERICA PAC,O,,NONE,24148569,0,19009956,DARK_MONEY,/AMERICA PAC/,
C00489815,NEA ADVOCACY FUND,O,,NATIONAL EDUCATION ASSOCIATION,30977683,18820000,5617066,LABOR,/\bNEA\b/,
C00876482,RETIRE CAREER POLITICIANS,O,,,18499651,560000,17175380,DARK_MONEY,/RETIRE CAREER POLITICIAN/,
C00870592,FIX WASHINGTON PAC,O,,NONE,17304981,200000,16581630,DARK_MONEY,/FIX WASHINGTON/,
C00752691,ONE FOR ALL COMMITTEE,O,,NONE,20890969,10000,16350507,DARK_MONEY,/ONE FOR ALL COMMITTEE/,
C00492520,AMERICA VOTES ACTION FUND,O,,,20252614,16310000,338209,DARK_MONEY,/AMERICA VOTES/,
C00770495,PROTECT OHIO VALUES PAC (POV PAC),V,,,19797824,28300,15985860,DARK_MONEY,inline: Protect Ohio Values PAC (POV PAC) — JD Vance super PAC,
C00834630,BUCKEYE VALUES PAC,O,,NONE,17103050,0,15829049,DARK_MONEY,/BUCKEYE VALUES/,
C00763185,THE GEORGIA WAY,O,,,15845000,0,15786198,DARK_MONEY,inline: The Georgia Way — GA dark-money super PAC,
C00627372,WORKING AMERICANS FOR AFFORDABLE HEALTHCARE,O,,UNITE HERE,15382500,15215000,4041476,LABOR,/UNITE HERE/,
C00750174,PLAINS PAC,O,,NONE,15101110,40000,15059754,DARK_MONEY,inline: Plains PAC — generic regional dark money,
C00840546,TRUST IN THE MISSION PAC,V,,,21961112,0,14980851,DARK_MONEY,/TRUST IN THE MISSION/,
C00739110,PERSIST PAC,O,,,15374387,335000,14784334,DARK_MONEY,inline: Persist PAC — Elizabeth Warren 2020 super PAC,
C00544767,THE COMMITTEE TO DEFEND THE PRESIDENT,W,,NONE,17318641,260034,14659568,DARK_MONEY,inline: Committee to Defeat the President — anti-Trump dark money,
C00530766,WOMEN SPEAK OUT PAC,O,,NONE,17035591,100000,14445464,ACTIVIST,/WOMEN SPEAK OUT/,
C00441949,JSTREETPAC,Q,M,J STREET,14581367,14398384,0,FOREIGN_POLICY,/J ?STREET/,
C00573261,END CITIZENS UNITED,Q,,LET AMERICA VOTE PAC,42449850,3154715,14205955,ACTIVIST,/END CITIZENS UNITED/,
C00750182,"OPPORTUNITY MATTERS FUND, INC.",O,,,37333279,13775000,10009627,DARK_MONEY,/OPPORTUNITY MATTERS FUND/,
C00573733,SECURITY IS STRENGTH PAC,O,,,14727213,0,13745843,DARK_MONEY,inline: Security is Strength PAC — R foreign-policy dark money,
C00532630,OUR AMERICAN CENTURY,O,,,14075705,0,13615269,DARK_MONEY,inline: Our American Century — R vague-patriotic dark money,
C00488742,NATIONAL ASSOCIATION OF REALTORS CONGRESSIONAL FUND,O,,NATIONAL ASSOCIATION OF REALTORS,20211693,9200000,13406500,CORPORATE,/REALTOR/,
C00528554,RJC VICTORY FUND,O,,NONE,17018627,3121500,13344391,FOREIGN_POLICY,override: RJC Victory Fund — RJC super PAC arm,
C00811166,THE SENTINEL ACTION FUND,O,,NONE,37122617,1035000,13279663,DARK_MONEY,/SENTINEL ACTION FUND/,
C00646877,PACRONYM,O,,,18045188,266000,13177887,DARK_MONEY,inline: PACronym — Acronym Inc Dem dark-money operation,
C00742494,KEEP KENTUCKY GREAT,O,,NONE,13575557,440200,13044666,DARK_MONEY,inline: Keep Kentucky Great — Mitch McConnell super PAC,
C00876409,NHA ACTION,O,,NONE,14562400,12950000,0,ACTIVIST,/\bNHA ACTION\b/,
C00809020,AMERICAN DREAM FEDERAL ACTION,V,,,15001813,0,12649207,CORPORATE,inline: American Dream Federal Action — crypto industry-aligned Dem super PAC,
C00547349,NEXTGEN CLIMATE ACTION COMMITTEE,V,,NONE,64454572,9395008,12580406,ACTIVIST,/CLIMATE\b.*\bACTION/,
C00688739,DITCH FUND,V,,DEMOCRATIC DEFENSE FUND,23780049,0,11976498,CORPORATE,/\bDEFENSE\b/,
C00725317,BETTER FUTURE MI FUND,O,,NONE,13017551,0,11641924,DARK_MONEY,inline: Better Future MI Fund — MI Dem dark money,
C00821439,PEOPLE'S PHARMA MOVEMENT,V,,MAHA VALUES,51498985,29450,11533107,DARK_MONEY,override: American Values 2024 — RFK Jr / Tim Mellon $50M swing,
C00633248,314 ACTION FUND,W,,314 ACTION VICTORY FUND,29175040,465655,11409663,ACTIVIST,override: 314 Action Fund — recruiting scientists to run,
C00620971,FOR OUR FUTURE,O,,NONE,32265893,1000000,11308766,DARK_MONEY,/FOR OUR FUTURE/,
C00053553,NATIONAL RIFLE ASSOCIATION OF AMERICA POLITICAL VICTORY FUND,Q,M,NATIONAL RIFLE ASSOCIATION OF AMERICA,23421777,11036600,10168202,DARK_MONEY,override: NRA Political Victory Fund — industry+extremist (user override),
C00007922,LABORERS' INTERNATIONAL UNION OF NORTH AMERICA (LIUNA) PAC,Q,L,LABORERS' INTERNATIONAL UNION OF NORTH AMERICA,11757323,10962191,551692,LABOR,org_type=L (Labor),
C00707844,EDF ACTION VOTES,O,,NONE,19347891,6025000,10871402,ACTIVIST,/\bEDF ACTION/,
C00488486,COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,O,,COMMUNICATIONS WORKERS OF AMERICA,15145982,10845020,436169,LABOR,override: CWA Working Voices — CWA union arm,
C00825158,OPPORTUNITY MATTERS FUND ACTION,O,,,11182494,10837045,3250000,DARK_MONEY,/OPPORTUNITY MATTERS FUND/,
C00786624,DEMOCRACY PAC II,O,,DEMOCRACY PAC,155869427,10800000,0,DARK_MONEY,/DEMOCRACY PAC/,
C00029504,ENGINEERS POLITICAL EDUCATION COMMITTEE (EPEC)/INTERNATIONAL UNION OF OPERATING ENGINEERS,Q,L,INTERNATIONAL UNION OF OPERATING ENGINEERS LOCAL 965 PEF,10704851,10635142,523150,LABOR,org_type=L (Labor),
C00857011,FIGHT RIGHT INC,O,,,14739207,3375000,10553442,CORPORATE,/\bINC\b/,
C00871368,PROJECT 218,O,,AMERICAN BRIDGE RESEARCH FUND,17665994,3195000,10495998,DARK_MONEY,/AMERICAN BRIDGE/,
C00794396,SCHOOL FREEDOM FUND,O,,,17838727,3800000,10465240,DARK_MONEY,inline: School Freedom Fund — Yass-network anti-public-school billionaire-funded,
C00698126,1820 PAC,O,,NONE,11813150,0,10387507,DARK_MONEY,inline: 1820 PAC — Maine state dark money,
C00659011,"WITH HONOR FUND, INC.",O,,,18949188,5891512,10331815,DARK_MONEY,/WITH HONOR FUND/,
C00562777,LATINO VICTORY FUND,W,,NONE,12492851,148500,10295995,LEADERSHIP,/VICTORY (FUND|COMMITTEE)/,
C00011114,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES  P E O P L E,Q,L,"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO",23331694,5196989,10233371,LABOR,org_type=L (Labor),
C00341396,MOVEON.ORG POLITICAL ACTION,W,,NONE,60262906,1881716,10218347,ACTIVIST,/MOVEON/,
C00489799,PLANNED PARENTHOOD VOTES,O,,NONE,27716950,3544638,10198291,ACTIVIST,/PLANNED PARENTHOOD/,
C00817536,CLIMATE POWER ACTION,O,,,10408980,10060000,5264723,ACTIVIST,override: Climate Power Action — climate advocacy,
C00760124,NATIONAL VICTORY ACTION FUND,W,,,14932551,557515,9928000,DARK_MONEY,inline: National Victory Action Fund — generic R dark money,
C00028860,"AMERICAN FEDERATION OF TEACHERS, AFL-CIO COMMITTEE ON POLITICAL EDUCATION",Q,L,,14767804,9803000,0,LABOR,org_type=L (Labor),
C00754051,TAKE BACK 2020,O,,,27552768,2856556,9700466,LABOR,override: Workers Vote — labor mobilization,
C00864926,AMERICA LEADS ACTION INC.,O,,NONE,10264548,0,9635813,CORPORATE,/\bINC\b/,
C00749085,AMERICAN POLICY FUND,O,,NONE,10256975,0,9512250,DARK_MONEY,inline: American Policy Fund — vague R dark money,
C00490375,NATIONAL NURSES UNITED FOR PATIENT PROTECTION,O,,NATIONAL NURSES UNITED,10820000,600000,9510617,LABOR,override: National Nurses United for Patient Protection — nurses union,
C00624817,EARN INTERNATIONAL UNION OF OPERATING ENGINEERS,O,,EARN INTERNATIONAL UNION OF OPERATING ENGINEERS,11045889,9502554,713724,LABOR,/\bUNION\b/,
C00881805,SAG PAC INC.,O,,NONE,16907482,9422000,7346958,CORPORATE,/\bINC\b/,
C00832691,STANDING STRONG PAC,O,,NONE,10579552,25000,9353288,DARK_MONEY,/STANDING STRONG PAC/,
C00741769,STRATEGIC VICTORY FUND IE PAC,O,,,15499210,9280053,0,DARK_MONEY,override: Strategic Victory Fund IE PAC — dark-money swing,
C00608489,GREAT AMERICA PAC,W,,,11740054,150739,9184418,DARK_MONEY,/AMERICA PAC/,
C00792333,PROGRESS PINELLAS,O,,,10000100,22000,9161526,DARK_MONEY,inline: Progress Pinellas — FL Dem dark money,
C00657866,PROTECT FREEDOM POLITICAL ACTION COMMITTEE INC,O,,,19599051,1100000,9160729,LEADERSHIP,/PROTECT FREEDOM/,
C00751420,REPUBLICAN VOTERS AGAINST TRUMP INC,O,,,10086706,0,8958900,CORPORATE,/\bINC\b/,
C00790477,"MAKE AMERICA GREAT AGAIN, AGAIN! INC.",O,,,16388110,8900000,393786,DARK_MONEY,/MAKE AMERICA GREAT AGAIN/,
C00030718,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,Q,M,NATIONAL ASSOCIATION OF REALTORS,19775633,8664250,5881377,CORPORATE,/REALTOR/,
C00002840,UAW - V - CAP (UAW VOLUNTARY COMMUNITY ACTION PROGRAM),Q,L,INT'L UNION UNITED AUTOMOBILE AEROSPACE & AGRICULTURAL IMPLEMENT WORKERS OF AMERICA UAW,15260386,8662852,118753,LABOR,org_type=L (Labor),
C00825091,VOTE ALASKA BEFORE PARTY,O,,NONE,8677370,0,8576646,DARK_MONEY,inline: Vote Alaska Before Party — billionaire-funded Murkowski-aligned super PAC,
C00837427,PROJECT RESCUE AMERICA,O,,NONE,10756358,0,8531652,DARK_MONEY,inline: Project Rescue America — Trump-aligned billionaire swing,
C00606962,WORKING FAMILIES PARTY NATIONAL POLITICAL ACTION COMMITTEE,W,,NONE,25302103,156474,8097259,DARK_MONEY,/WORKING FAMILIES PARTY/,
C00683599,CHANGE NOW,O,,,8644717,175000,8094502,DARK_MONEY,inline: Change Now — Dem dark-money super PAC,
C00680926,PATIENTS FOR AFFORDABLE DRUGS ACTION,O,,,9977119,0,7982384,ACTIVIST,inline: Patients for Affordable Drugs Action — drug pricing advocacy,
C00544387,CAMPAIGN FOR AMERICAN PRINCIPLES,O,,NONE,12809427,780000,7933282,DARK_MONEY,"inline: American Principles Project PAC — Leonard Leo network, anti-trans conservative dark money",
C00816991,SHOW ME VALUES PAC,O,,,8050550,0,7927985,DARK_MONEY,inline: Show Me Values PAC — Missouri dark money,
C00568964,LIUNA BUILDING AMERICA,O,,NONE,8731931,7850000,200000,LABOR,inline: LIUNA Building America — Laborers union super PAC arm,
C00841593,TELL IT LIKE IT IS PAC,O,,NONE,13869801,5000,7739201,DARK_MONEY,inline: Tell It Like It Is PAC — conservative billionaire-funded swing,
C00698936,"WFW ACTION FUND, INC.",V,,,9978320,119900,7706509,CORPORATE,/\bINC\b/,
C00625533,NEW AMERICAN JOBS FUND,O,,NONE,7724504,2250000,7696849,DARK_MONEY,inline: New American Jobs Fund — Dem-aligned billionaire-funded,
C00790923,"BUCKEYE LEADERSHIP FUND, INC.",O,,NONE,7983400,0,7664536,CORPORATE,/\bINC\b/,
C00542217,TEXANS FOR A CONSERVATIVE MAJORITY,V,,NONE,7557964,0,7629406,DARK_MONEY,inline: Texans for a Conservative Majority — TX R dark money,
C00732172,SAVE AMERICA FUND,O,,NONE,8071142,45000,7604237,DARK_MONEY,inline: Save America Fund — Trump-aligned vague-patriotic dark money,
C00809483,EIGHTEEN FIFTY-FOUR FUND,O,,NONE,8119521,7565000,0,DARK_MONEY,inline: Eighteen Fifty-Four Fund — Dem-aligned billionaire-funded swing,
C00668905,AMERICAN PATRIOTS PAC,O,,NONE,9696147,1059735,7563136,DARK_MONEY,/AMERICAN PATRIOTS/,
C00745208,USA FREEDOM FUND,O,,NONE,7715175,103950,7553349,DARK_MONEY,inline: USA Freedom Fund — generic R dark money,
C00710848,DMFI PAC,W,,NONE,9063924,322650,7448431,FOREIGN_POLICY,/\bDMFI\b/,
C00540443,GIFFORDS PAC,W,,,17055843,453026,7256780,ACTIVIST,override: Giffords PAC — gun safety advocacy,
C00531814,ENVIRONMENT AMERICA ACTION FUND,O,,NONE,16726746,7172000,791503,IDEOLOGICAL,/\bENVIRONMENT/,
C00671099,INTEGRITY NJ,O,,,7487720,0,7141971,DARK_MONEY,inline: Integrity NJ — NJ Dem dark money,
C00769232,AMERICAN GREATNESS PAC,O,,NONE,18511971,7133800,5639748,DARK_MONEY,inline: Jefferson Rising — Dem-aligned billionaire-funded swing,
C00835967,CONSERVATIVES FOR AMERICAN EXCELLENCE INC.,O,,NONE,10568973,0,7065745,CORPORATE,/\bINC\b/,
C00023580,NATIONAL ASSOCIATION OF LETTER CARRIERS OF U.S.A. POLITICAL FUND (LETTER CARRIER POLITICAL FUND),Q,L,BRANCH 193 NATIONAL ASSOCIATION OF LETTER CARRIERS POLITICAL ACTION COMMITTEE,7296729,7043750,74640,LABOR,org_type=L (Labor),
C00484535,VOTESANE PAC,N,,,7184918,7025383,0,DARK_MONEY,inline: VoteSane PAC — vague-name dark money,
C00238725,NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION PAC,Q,L,NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION,9084768,6981000,0,LABOR,org_type=L (Labor),
C00752048,LABORERS' INTERNATIONAL UNION OF NORTH AMERICA POLITICAL FUND,O,,LABORERS' INTERNATIONAL UNION OF NORTH AMERICA,10003000,6950000,2786935,LABOR,/\bUNION\b/,
C00760330,NORTH STAR,O,,,7100000,70000,6945406,DARK_MONEY,inline: North Star — generic dark money,
C00831404,"WITH HONOR FUND II, INC.",O,,NONE,12107944,6920000,4591519,ACTIVIST,override: With Honor Fund II — veterans-in-office advocacy,
C00749671,CITIZENS FOR FREE ENTERPRISE,O,,,15120645,13274,6904744,IDEOLOGICAL,/CITIZENS FOR/,
C00786830,WELCOMEPAC,W,,,9387604,287300,6893893,ACTIVIST,inline: WelcomePAC — pro-immigration moderate Dem advocacy,
C00776385,SAVE MISSOURI VALUES,O,,NONE,8196810,0,6886201,DARK_MONEY,inline: Save Missouri Values — MO R dark money,
C00789339,"34N22, INC.",O,,NONE,9301705,235000,6786737,CORPORATE,/\bINC\b/,
C00666388,DUTY AND COUNTRY,O,,,10159883,0,6622925,DARK_MONEY,inline: Duty and Country — R-aligned vague-patriotic super PAC,
C00833749,AMERICAN EXCEPTIONALISM PAC,O,,,8872227,116816,6554191,DARK_MONEY,inline: American Exceptionalism PAC — vague-patriotic R billionaire-funded,
C00540203,DEFENDING MAIN STREET SUPERPAC INC.,O,,,6844936,0,6540931,CORPORATE,/\bINC\b/,
C00489856,ESAFUND,O,,NONE,11751817,3750000,6522833,DARK_MONEY,inline: ESAfund (Ending Spending Action Fund) — Ricketts family billionaire funded,
C00878009,EVERYTOWN-DEMAND A SEAT PAC,O,,NONE,8085805,6500000,0,ACTIVIST,/EVERYTOWN/,
C00564765,"FREEDOM PARTNERS ACTION FUND, INC.",O,,,15437147,6481745,0,CORPORATE,/\bINC\b/,
C00012476,UNITED ASSOCIATION POLITICAL EDUCATION COMMITTEE (UNITED ASSOCIATION OF JOURNEYMEN AND APPRENTICES OF THE PLUMBING & PIPEFITTING INDUSTRY OF THE UNITED STATES AND CANADA),Q,L,PLUMBERS & STEAMFITTERS LOCAL 22 PAC INC,10687660,6478800,3652312,LABOR,org_type=L (Labor),
C00838169,REPUBLICAN LEADERSHIP FUND INC.,O,,NONE,7408550,6284438,568725,CORPORATE,/\bINC\b/,
C00002766,UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION ACTIVE BALLOT CLUB,Q,L,UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION,16515014,6269870,11105,LABOR,org_type=L (Labor),
C00883827,CIVIC TRUTH ACTION,O,,NONE,6395000,0,6209326,DARK_MONEY,inline: Civic Truth Action — Dem-aligned 501(c)(4)-funded super PAC,
C00559906,AMERICAS PAC,O,,NONE,6989664,14600,6174526,DARK_MONEY,inline: Americas PAC — R-aligned dark money super PAC,
C00027342,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS POLITICAL ACTION COMMITTEE,Q,L,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS,13988064,6159500,0,LABOR,org_type=L (Labor),
C00662221,HOUSE FREEDOM ACTION,O,,NONE,7607318,0,6130400,DARK_MONEY,override: House Freedom Action — billionaire-funded R primary ops,
C00574533,FUTURE45,O,,,6269614,150000,6129286,DARK_MONEY,inline: Future45 — Trump-aligned R super PAC,
C00819664,EVERGREEN PRINCIPLES PAC,O,,,6974961,0,6088384,DARK_MONEY,inline: Evergreen Principles PAC — vague R dark money,
C00816892,CRYPTO FREEDOM PAC,O,,,9391648,500000,6081940,CORPORATE,/CRYPTO/,
C00748475,CONSERVATIVE OUTSIDER PAC,O,,,6495180,0,6057759,DARK_MONEY,inline: Conservative Outsider PAC — R dark money,
C00782656,ALABAMA CHRISTIAN CONSERVATIVES,O,,NONE,10923993,6040000,4341317,DARK_MONEY,inline: Alabama Christian Conservatives — AL R dark money,
C00580068,PROGRESSIVE TURNOUT PROJECT,W,,STOP THESE OPPRESSIVE PEOPLE: TYRANTS RACISTS UNQUALIFIEDS MISOGYNISTS PROPAGANDISTS (STOP TRUMP),90341183,2612527,6017477,IDEOLOGICAL,inline: Progressive Turnout Project — progressive grassroots GOTV (user override),
C00636027,TECH FOR CAMPAIGNS,V,,,12492434,0,5941810,ACTIVIST,inline: Tech for Campaigns — Dem volunteer tech advocacy,
C00035451,AIR LINE PILOTS ASSOCIATION PAC,Q,L,AIR LINE PILOTS ASSOCIATION,5699405,5909500,0,LABOR,org_type=L (Labor),
C00859355,BATTLEGROUND NEW YORK,O,,,7738435,0,5851516,DARK_MONEY,inline: Battleground New York — state-focused Dem billionaire-funded,
C00808303,ALABAMA RINO PAC (ALRINO; AL_RINO; ARPAC),O,,NONE,6040100,0,5832960,DARK_MONEY,inline: Alabama RINO PAC — AL R primary-challenger dark money,
C00448696,SENATE CONSERVATIVES FUND,Q,,NONE,14243278,5815515,5461558,DARK_MONEY,/SENATE CONSERVATIVES FUND/,
C00771477,MAKE AMERICA GREAT AGAIN ACTION INC,O,,NONE,8371520,5725000,1619958,DARK_MONEY,/MAKE AMERICA GREAT AGAIN/,
